,trial_names,result
92,pick_and_place_simple-KeyChain-None-ArmChair-214_0:,PASS
93,pick_and_place_simple-SoapBottle-None-GarbageCan-11_0:,FAIL
94,pick_and_place_simple-KeyChain-None-ArmChair-214_0:,PASS
95,pick_and_place_simple-Pen-None-SideTable-309_0:,PASS
96,pick_and_place_simple-Pen-None-SideTable-309_0:,PASS
97,pick_and_place_simple-Pen-None-SideTable-309_0:,PASS
98,pick_and_place_simple-CellPhone-None-Desk-327_0:,PASS
99,pick_and_place_simple-CellPhone-None-Dresser-317_0:,PASS
100,pick_and_place_simple-CellPhone-None-Desk-327_0:,FAIL
101,pick_and_place_simple-CellPhone-None-Dresser-317_0:,PASS
102,pick_and_place_simple-Book-None-ArmChair-318_0:,PASS
103,pick_and_place_simple-Book-None-ArmChair-318_0:,PASS
104,pick_and_place_simple-Book-None-ArmChair-318_0:,PASS
105,pick_and_place_simple-CellPhone-None-Dresser-317_0:,PASS
106,pick_and_place_simple-HandTowel-None-CounterTop-416_0:,PASS
107,pick_and_place_simple-CellPhone-None-Desk-327_0:,PASS
108,pick_and_place_simple-HandTowel-None-BathtubBasin-402_0:,PASS
109,pick_and_place_simple-HandTowel-None-BathtubBasin-402_0:,PASS
110,pick_and_place_simple-HandTowel-None-BathtubBasin-402_0:,PASS
111,pick_and_place_simple-Pillow-None-Sofa-209_0:,PASS
112,pick_and_place_simple-Pillow-None-Sofa-209_0:,FAIL
113,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-407_0:,FAIL
114,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-407_0:,FAIL
115,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-407_0:,FAIL
116,pick_and_place_simple-Plunger-None-Cabinet-417_0:,FAIL
117,pick_and_place_simple-Plunger-None-Cabinet-417_0:,FAIL
118,pick_and_place_simple-Candle-None-Toilet-412_0:,FAIL
119,pick_and_place_simple-Cloth-None-BathtubBasin-410_0:,FAIL
120,pick_and_place_simple-Pen-None-SideTable-329_0:,PASS
121,pick_and_place_simple-Cloth-None-BathtubBasin-410_0:,FAIL
122,pick_and_place_simple-HandTowel-None-BathtubBasin-419_0:,PASS
123,pick_and_place_simple-Candle-None-Toilet-412_0:,FAIL
124,pick_and_place_simple-HandTowel-None-BathtubBasin-419_0:,PASS
125,pick_and_place_simple-Egg-None-Microwave-4_0:,FAIL
126,pick_and_place_simple-Candle-None-Toilet-412_0:,FAIL
127,pick_and_place_simple-HandTowel-None-BathtubBasin-419_0:,PASS
128,pick_and_place_simple-Spoon-None-SinkBasin-12_0:,FAIL
129,pick_and_place_simple-Egg-None-Microwave-4_0:,FAIL
130,pick_and_place_simple-Spoon-None-SinkBasin-12_0:,FAIL
131,pick_and_place_simple-Tomato-None-DiningTable-26_0:,PASS
132,pick_and_place_simple-Tomato-None-DiningTable-26_0:,PASS
133,pick_and_place_simple-Egg-None-Microwave-4_0:,FAIL
134,pick_and_place_simple-Pillow-None-Sofa-209_0:,FAIL
135,pick_and_place_simple-Candle-None-Cabinet-407_0:,PASS
136,pick_and_place_simple-Candle-None-Cabinet-407_0:,FAIL
137,pick_and_place_simple-Candle-None-Cabinet-407_0:,FAIL
138,pick_and_place_simple-Box-None-Desk-314_0:,FAIL
139,pick_and_place_simple-Box-None-Desk-314_0:,PASS
140,pick_and_place_simple-Box-None-Desk-314_0:,PASS
141,pick_and_place_simple-SprayBottle-None-GarbageCan-428_0:,PASS
142,pick_and_place_simple-Spoon-None-SinkBasin-12_0:,FAIL
143,pick_and_place_simple-Kettle-None-Shelf-1_0:,PASS
144,pick_and_place_simple-SprayBottle-None-Toilet-418_0:,PASS
145,pick_and_place_simple-Kettle-None-Shelf-1_0:,PASS
146,pick_and_place_simple-TissueBox-None-SideTable-229_0:,PASS
147,pick_and_place_simple-Candle-None-Toilet-413_0:,PASS
148,pick_and_place_simple-TissueBox-None-SideTable-229_0:,PASS
149,pick_and_place_simple-TissueBox-None-SideTable-229_0:,PASS
150,pick_and_place_simple-SprayBottle-None-GarbageCan-428_0:,FAIL
151,pick_and_place_simple-Kettle-None-Shelf-1_0:,PASS
152,pick_and_place_simple-Candle-None-Toilet-413_0:,PASS
153,pick_and_place_simple-WineBottle-None-Shelf-7_0:,FAIL
154,pick_and_place_simple-WineBottle-None-Shelf-7_0:,FAIL
155,pick_and_place_simple-WineBottle-None-Shelf-7_0:,FAIL
156,pick_and_place_simple-SprayBottle-None-GarbageCan-428_0:,FAIL
157,pick_and_place_simple-Candle-None-Toilet-413_0:,PASS
158,pick_and_place_simple-ToiletPaper-None-Toilet-429_0:,PASS
159,pick_and_place_simple-ToiletPaper-None-Toilet-429_0:,PASS
160,pick_and_place_simple-Pencil-None-Desk-307_0:,PASS
161,pick_and_place_simple-Pencil-None-Desk-307_0:,PASS
162,pick_and_place_simple-SprayBottle-None-Toilet-418_0:,PASS
163,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-410_0:,PASS
164,pick_and_place_simple-SprayBottle-None-Toilet-418_0:,PASS
165,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-410_0:,PASS
166,pick_and_place_simple-SprayBottle-None-CounterTop-421_0:,PASS
167,pick_and_place_simple-SprayBottle-None-CounterTop-421_0:,PASS
168,pick_and_place_simple-Spoon-None-SinkBasin-19_0:,PASS
169,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-410_0:,FAIL
