,trial_names,result
87,look_at_obj_in_light-Pillow-None-DeskLamp-306_0:,PASS
88,look_at_obj_in_light-Pillow-None-DeskLamp-306_0:,PASS
89,look_at_obj_in_light-KeyChain-None-DeskLamp-327_0:,PASS
90,look_at_obj_in_light-Box-None-DeskLamp-303_0:,PASS
91,look_at_obj_in_light-KeyChain-None-DeskLamp-327_0:,PASS
92,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
93,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
94,look_at_obj_in_light-Box-None-DeskLamp-218_0:,PASS
95,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
96,look_at_obj_in_light-Box-None-DeskLamp-218_0:,FAIL
97,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
98,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
99,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
100,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,FAIL
101,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
102,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
103,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
104,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,FAIL
105,look_at_obj_in_light-Box-None-DeskLamp-303_0:,FAIL
106,look_at_obj_in_light-Box-None-DeskLamp-303_0:,PASS
107,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,PASS
108,look_at_obj_in_light-CD-None-DeskLamp-307_0:,PASS
109,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,PASS
110,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,FAIL
111,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,PASS
112,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
113,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
114,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
115,look_at_obj_in_light-CD-None-DeskLamp-307_0:,PASS
116,look_at_obj_in_light-KeyChain-None-DeskLamp-309_0:,FAIL
117,look_at_obj_in_light-KeyChain-None-DeskLamp-309_0:,FAIL
118,look_at_obj_in_light-KeyChain-None-DeskLamp-309_0:,FAIL
119,look_at_obj_in_light-CD-None-DeskLamp-307_0:,FAIL
120,look_at_obj_in_light-BaseballBat-None-DeskLamp-316_0:,FAIL
121,look_at_obj_in_light-BaseballBat-None-DeskLamp-316_0:,PASS
122,look_at_obj_in_light-RemoteControl-None-FloorLamp-221_0:,FAIL
123,look_at_obj_in_light-Box-None-FloorLamp-221_0:,PASS
124,look_at_obj_in_light-Box-None-FloorLamp-221_0:,PASS
125,look_at_obj_in_light-KeyChain-None-FloorLamp-213_0:,FAIL
126,look_at_obj_in_light-Watch-None-DeskLamp-205_0:,PASS
127,look_at_obj_in_light-Pillow-None-FloorLamp-221_0:,PASS
128,look_at_obj_in_light-BaseballBat-None-DeskLamp-316_0:,PASS
129,look_at_obj_in_light-Pillow-None-FloorLamp-221_0:,PASS
130,look_at_obj_in_light-RemoteControl-None-FloorLamp-221_0:,PASS
131,look_at_obj_in_light-Pillow-None-DeskLamp-216_0:,PASS
132,look_at_obj_in_light-Pillow-None-DeskLamp-316_0:,PASS
133,look_at_obj_in_light-KeyChain-None-FloorLamp-213_0:,PASS
134,look_at_obj_in_light-Watch-None-DeskLamp-205_0:,FAIL
135,look_at_obj_in_light-KeyChain-None-FloorLamp-213_0:,PASS
136,look_at_obj_in_light-Watch-None-DeskLamp-205_0:,PASS
137,look_at_obj_in_light-Pillow-None-DeskLamp-216_0:,PASS
138,look_at_obj_in_light-Newspaper-None-FloorLamp-227_0:,PASS
139,look_at_obj_in_light-Newspaper-None-FloorLamp-227_0:,PASS
140,look_at_obj_in_light-Book-None-DeskLamp-306_0:,PASS
141,look_at_obj_in_light-RemoteControl-None-FloorLamp-211_0:,PASS
142,look_at_obj_in_light-AlarmClock-None-DeskLamp-317_0:,PASS
143,look_at_obj_in_light-Pillow-None-DeskLamp-316_0:,PASS
144,look_at_obj_in_light-Book-None-DeskLamp-306_0:,PASS
145,look_at_obj_in_light-AlarmClock-None-DeskLamp-317_0:,PASS
146,look_at_obj_in_light-Vase-None-FloorLamp-221_0:,PASS
147,look_at_obj_in_light-AlarmClock-None-DeskLamp-317_0:,PASS
148,look_at_obj_in_light-Vase-None-FloorLamp-221_0:,PASS
149,look_at_obj_in_light-RemoteControl-None-FloorLamp-211_0:,PASS
150,look_at_obj_in_light-RemoteControl-None-FloorLamp-211_0:,PASS
151,look_at_obj_in_light-Vase-None-FloorLamp-221_0:,PASS
